car	year	price	dealer
2023 Mazda CX-30 Premium Package	2023	33010	Safford Brown Mazda Fairfax
2023 Mazda CX-30 Premium Package	2023	32950	Route 9 Mazda
2023 Mazda CX-30 Premium Package	2023	33645	Safford Brown Mazda Chantilly
2023 Mazda CX-30 Premium Package	2023	33550	Safford Brown Mazda Chantilly
2023 Mazda CX-30 Premium Package	2023	33270	Modern Mazda
2023 Mazda CX-30 Premium Package	2023	34395	Safford Mazda of Fredericksburg
2023 Mazda CX-30 Premium Package	2023	32752	Liberty Mazda
2023 Mazda CX-30 Premium Package	2023	32194	Liberty Mazda
2023 Mazda CX-30 Premium Package	2023	32017	Liberty Mazda
2023 Mazda CX-30 Premium Package	2023	32017	Liberty Mazda
2023 Mazda CX-30 Premium Package	2023	31828	Whaling City Ford
2023 Mazda CX-30 Premium Package	2023	32120	Whaling City Mazda
